"";"Speaker";"file_id";"Speech"
"1";"CHAIRMAN GREENSPAN.";"FOMC20050202meeting.csv";" Any further questions for our colleagues?  If not, who would like to start the Committee discussion?  President Moskow.,  President Yellen.,  President Santomero.,  President Minehan.,  President Guynn.,  President Pianalto.,  President Stern.,  First Vice President Holcomb.,  You’re welcome to attend any time!,  President Hoenig.,  Governor Bernanke.,  President Lacker.,  Thank you. Let’s break for coffee. We could extend this for a little longer than usual, since we do have a lot of time.  So let’s break for 20 minutes. [Coffee break],  Governor Kohn.,  President Poole.,  Vice Chair.,  Governor Olson.,  Governor Ferguson.,  Governor Bies.,  Governor Gramlich.,  Thank you. Vincent."
"2";"MR. BERNANKE.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  The economic recovery seems well entrenched, and domestic final demand continued strong, foreshadowing healthy growth in 2005.  I don’t see inflation risks as having changed materially in recent months.  In particular, labor costs have been remarkably subdued.  However, with the recovery no longer fragile, continued withdrawal of monetary accommodation at a measured pace remains the appropriate policy, in my view. Some have cited a possible slowdown in labor productivity growth as an upside risk for inflation on the grounds that slower productivity growth implies a more rapid rise in unit labor costs. While lower productivity does, of course, lead to higher unit labor costs, all else equal, the links between productivity growth and inflation, as well as the implications for policy, are actually quite February 1-2, 2005 102 of 177 First, it’s important to note that an assumption of slower productivity growth is already incorporated into the Greenbook forecast. The staff projects output per hour in the nonfarm business sector to rise at about a 1.7 percent annual rate in 2005, less than recent experience and about a percentage point below the profession’s consensus estimate of the long-run trend.  The projected slowdown reflects both cyclical factors and the assumption that there will be some giveback of the extraordinary recent gains. As productivity growth has surprised repeatedly on the upside for almost a decade now, I think the risks for the Greenbook productivity projections should be viewed as well balanced, at worst. The staff projects that the deceleration in the cyclical component of output per hour should have little effect on inflation but will instead lower profit margins.  And even though the expected slowdown in structural productivity growth will put upward pressure on prices, the staff expects the impact on inflation of that productivity slowdown to be offset by other factors like declining energy prices and a stabilization of the dollar. To summarize, the Greenbook’s baseline forecast shows that some slowing of productivity growth, at least, is not inconsistent with continued stable inflation.  The interesting question is: What will happen if productivity growth in 2005 comes in even lower than the 1.7 percent projected by the staff?  If firms view the resulting increase in the rate of growth of unit labor costs as more or less permanent, then historical experience suggests that these costs will be passed on to consumers fairly quickly, thereby boosting inflation in the short run.  However, it does not follow that policy should therefore be tightened more aggressively.  The appropriate response depends also on the reaction of aggregate demand to this change in productivity growth. If a slowing in productivity growth occurs that is both perceived as permanent and is also largely unexpected by households and firms, then stock prices should fall and households should mark down their estimates of permanent income.  The resulting decline in aggregate demand will tend to offset the inflationary impacts of the productivity slowdown.  Also, because firms will expect February 1-2, 2005 103 of 177 illustrated in chart 6 of the Bluebook, the optimal policy response to a permanent slowdown in productivity growth may well involve a slower pace of tightening rather than a faster one, despite a possible short-run bump in inflation.  This scenario is just a mirror image of the post-1995 experience in which a perceived increase in secular productivity growth sparked a stock market boom and rapid growth in spending, and hence was not disinflationary, despite the fact that unit labor costs declined. What if productivity growth slows substantially but aggregate demand does not respond?  In that instance, unfortunately, we might be called upon to make a judgment about whether the slowdown is likely to prove temporary or permanent.  If it is temporary, then neither inflation nor policy should respond very much.  If the slowdown is judged to be permanent, however, the failure of aggregate demand to adjust would suggest that households and firms anticipated the slowdown, while the staff was too optimistic.  In this case, the slowdown in productivity should indeed be met with a tightening of policy in the short run. However, the funds rate should be lower in the long run, reflecting the fact that the neutral fed funds rate will also be lower.  This scenario is the mirror image of the 2002-2003 period in which productivity gains created disinflationary pressures that did require aggressive easing in the short run. To summarize, slower productivity growth does not necessarily require a tighter policy. First, some slowing is already anticipated and incorporated into the Greenbook forecast.  Second, if a significant slowing occurs, the key issue is the extent to which aggregate demand responds to the slowdown. A sufficiently large decline in aggregate demand might well reverse the presumption that tighter policy is needed when unit labor costs rise. Thank you."
"3";"MR. FERGUSON.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  The economy, to me at least, seems to be safely at what I would describe as a mid-cycle sweet spot, with inflation generally contained and growth at about potential. The staff’s outlook and the consensus forecast—the Greenbook baseline and the central tendencies on chart 15—were all consistent with that kind of benign outlook going February 1-2, 2005 115 of 177 While fourth-quarter GDP may have been mildly below expectations—due to the vagaries of national statistical authorities in other countries perhaps—the underlying growth of domestic demand in the most recent release was, I would say, relatively encouraging.  Final sales to domestic purchasers, the broadest measure of domestic demand excluding inventory investment, grew at a solid 4.3 percent pace, which I think Tom Hoenig already pointed out.  Both PCE expenditures and E&S expenditures contributed. Importantly, the private sector contributed almost all of the growth, as government consumption rose less than 1 percent and contributed less than 0.2 percentage point to the GDP growth, according to the most recent report.  This growth was supported by a number of underlying factors, all of which I think are consistent with the very positive outlook. Real disposable income managed an impressive 6.2 percent increase, even excluding the Microsoft dividend.  I’m surprised that from the Twelfth District we didn’t hear more about the dividend, since most of the recipients apparently live in Washington State. Orders and shipments of durable goods excluding aircraft rose briskly in December, perhaps undercutting to some degree the staff’s pothole outlook but reinforcing a general sense of balanced growth. Weekly jobless claims edged up most recently but still remain below the recent trend. Consumer confidence and business confidence surveys are all off a bit, but, again, for the most part the gains in the last few months are being maintained.  And our own survey of capital spending plans reinforces the notion of gradual business expansion. So, against this relatively benign mid-cycle backdrop and the number of data sources that suggest a continuation of this outlook, should we adopt a “What, me worry?” attitude?  Here is what differentiates us, perhaps, from some of Governor Olson’s contacts: We, indeed, are in it mainly for the pain!  [Laughter] But what are the things that should be causing us some pain as we look forward?  First and foremost, the drag from net exports appears likely to continue and, I would say, is disturbingly stubborn. Even after the glitch in the statistics from Canada has been taken into consideration, the February 1-2, 2005 116 of 177 year, well above the Q3 average of $51.8 billion. Given the amount of dollar depreciation that we’ve already experienced, why have we not seen a more balanced net export picture? I think we fully understand that this is a phenomenon that is due to a number of factors.  One is the relative strength of the growth in the U.S. economy versus the rest of the world—the Houthakker-Magee effect. The initial imbalance between imports and exports, as Karen has pointed out, means that exports have an awfully long way to run just to catch up with imports.  And there is the rise in oil prices. Another reason that imports appear to be relatively exchange-rate inelastic may be the limited pass-through, which fell from about 0.5 in the decade of the 1980s to about 0.1 in the decade of the 1990s. Some also believe the fact that the recent dollar depreciation has been against some currencies and not others may explain the size of the trade deficit.  But I suspect our staff is not in sympathy with that particular argument. In focusing on chart 14, though, what stands out is the degree of dollar depreciation that is called for just to get a very, very small change in the baseline—to try to offset even a little bit of the trade imbalance.  I think that is really quite disturbing for a number of reasons.  One is that I don’t have as much confidence perhaps as others do that domestic demand overseas is going to be stimulated.  The Japanese have a very severe problem to deal with.  The Europeans, as I meet with them, continue to discuss a very low potential growth rate and the need for structural changes.  The ECB, for a variety of perhaps legitimate reasons, I think feels quite constrained about trying to stimulate domestic demand.  So, I think the domestic demand situation externally is not particularly attractive. We’ve already talked about, in Karen’s response to Governor Gramlich, issues relating to the high-tech sector, where I at least see some questions, as Larry alluded to in his remarks.  So, I sense that the position with respect to the drag from exports is likely to be with us for a long time, is unlikely to change very quickly, and will probably require much more dollar depreciation than is built into the staff forecast, even in the alternative simulation.  Therefore, I think that’s an issue that February 1-2, 2005 117 of 177 The other risk that I think one should be focused on is an upside risk having to do with the pace of growth in unit labor costs. That has quickened recently, rising at a progressively faster rate over the four quarters of last year and leading to a slowing in the growth of unit profits.  Should businesses try to reassert the more rapid growth in unit profits that we saw earlier, they will need to attempt to raise prices.  The “flat markup and higher compensation inflation” scenario has, to my mind, a small but nonzero probability of happening.  The ratio of nonfinancial corporate profits to GDP has risen about 5 percentage points and now stands at about 11 percent.  The staff forecasts that the profit share will fall off a bit, and, I must say, history does support that forecast.  In five of the previous seven cycles since 1960, the profit share also rose above 5 percentage points—as it has now—and then did come off, as the staff has forecasted for the current cycle.  However, there is a little worry in all this, because in the last cycle the profit share reached about 13 percent of GDP before falling. If businesses now condition their expectations on that most recent experience, then the scattered stories of the exercise of pricing power that we’ve heard around the table could potentially become more widespread.  Whether or not that actually will occur depends on a number of factors that have been discussed already, having to do with competitive forces both in labor markets and in output markets.  Issues having to do with slack and with import prices clearly come into play here. At this stage, I’d say that all of this is clearly worth watching. These are the worries of central bankers, if not politicians.  Whether any of these risks or some other ones not named will come to pass obviously will be the subject of this year’s meetings.  Until that time, I think we should continue to execute our planned strategy of a gradual removal of policy accommodation, but review it really quite seriously at each meeting.  Thank you very much, Mr. Chairman."
"4";"MR. GRAMLICH.";"FOMC20050202meeting.csv";" You got to be first in something!  [Laughter],  Thank you, Mr. Chairman.  This has been a quiet month in Lake Wobegon.  The growth of aggregate demand has been good and the growth of output reasonably good, though we would all feel better with more growth in exports and in import-competing sectors. Core inflation keeps bouncing along well within at least my target range.  And I am, in general, in sympathy with those who have been arguing for NAIRU on the lower side.  Our measured pace of changing policy has worked well in getting rates off the floor without seeming to hurt the expansion, and there is no apparent reason to change that policy at this meeting. To me, the real problem is the one that I spoke about last time, and the one that many other Committee members have mentioned today in different ways—low national saving.  The U.S. national saving rate is now at a post-World War II low, the combination of steadily falling personal saving rates and the recent budget deficits. The staff thinks, and I believe President Santomero does, too, that personal saving rates will rise, and the Chairman thinks that budget deficits will fall.  I’m a bit skeptical about both claims, but we will see. This week, the CBO added some new and sobering information on the budget deficit forecast. Assuming that there is added spending for Iraq, that the tax cuts are extended, and that the AMT [alternative minimum tax] is indexed implies the continuation of large-scale deficits through 2015, with the debt/GDP ratio climbing back to about 45 percent by that time—close to as high as it was at its local peak in the early 1990s, though not at the all-time peak that was achieved back in World War II.  We’re not careening out of control in these forecasts, but we could certainly do better February 1-2, 2005 121 of 177 Low national saving means either that investment will fall or that international borrowing must continue.  Problems with falling investment are well known, and we have discussed them often. Problems with the continued borrowing are much less well understood.  The staff recently wrote us a memo about adjustments to prolonged international borrowing in other countries.  The data underlying the report indicate no instances of more than four or five years of continued borrowing on the trade account; the trade account is the deficit that should, and in their data almost always does, determine the ratio of international liabilities to U.S. GDP. Our trade account borrowing has already gone on three times as long as any other borrowing episode for high-income countries and, in Karen’s forecast, keeps rolling right along.  There can be both a bad and a good explanation for the phenomenon.  The bad one is the well-known codependency thesis: We are over-consuming and other countries are inappropriately supporting their export industry by intervening to strengthen the dollar. The good explanation is that other countries have populations aging even more rapidly than ours and need a good place to invest their savings—given our strong productivity advance, we’re the place.  This benign explanation may well be correct, but it does have limited duration.  When the older workers in these countries actually retire, they will start to run down their saving and pull their funds back. At that point, our investment rates would seem to have to fall.  How long this international borrowing can go on is a deep dark mystery, but one thing is clear:  As a nation, we would be better off if we could manage to save more and finance our own capital investment.  We could do that by gradually tightening our budget while other countries expanded their economies. Back to monetary policy, we usually analyze it in a Taylor rule type of framework, comparing inflation and unemployment.  We could also go back to an earlier IS/LM framework, which is appropriate when prices are stable, as I think they are at least roughly. When and if we get my desired fiscal tightening, I’d be glad either to slide down or shift down the LM curve and move to lower funds rates as may be appropriate and necessary to keep the U.S. economy near full February 1-2, 2005 122 of 177 of any real fiscal austerity on the horizon than I did at the last meeting.  Hence, for one more month, I’m on the “measured pace” bandwagon."
"5";"MR. GUYNN.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  As was the case at the time of our last meeting, I think we should be pleased with the way things are unfolding.  Output continues to expand at a good February 1-2, 2005 94 of 177 spending, we’re getting sufficient job creation to at least gradually push unemployment lower, and inflation remains at a low level. What we’re seeing in our Southeast region certainly confirms and helps to explain the favorable picture we see at the national level.  Most of the key sectors of our regional economy, including consumer spending, housing, manufacturing, retail, tourism, and auto sales, remain positive. We found it encouraging that a large share of investment spending by businesses was reported to be attributable to the anticipation of increased sales.  Other planned investment spending is being attributed to a desire to upgrade technology and to continue to improve competitiveness and cost efficiency. Consumer spending in our region continues to be strong.  Tourism has been especially positive. Florida theme parks are once again full to capacity, hotel bookings are up, and hotel room tax collections are 8 percent ahead of year-ago levels.  Housing growth in our region has eased a bit, though it still remains at a high level. The good pace of overall activity has contributed to new regional job creation. While having slowed somewhat in December, job creation has been sufficient to move ahead of the peak experienced just before the onset of the recession.  Our District added some 264,000 jobs last year, an increase of 1.4 percent. Florida led the District, creating 172,000 new jobs.  Since the end of the recession, Florida has accounted for 27 percent of the net new jobs created in the entire country. The District unemployment rate, at 4.9 percent as of the end of December, remains below that of the nation. Finally, I continue to be watchful for imbalances and their implications for inflation.  At our last board meeting, our directors provided additional reports of continued sharp run-ups in housing prices in selected areas, especially in some Florida real estate markets.  One director who manages a large trucking firm noted that equipment shortages in trucking are leading to frequent price increases. She reported that fuel surcharges are also being readily passed on and that rationing of February 1-2, 2005 95 of 177 commented that railroads are beginning to decline to renew some contracts to ship certain bulk chemicals, which are less profitable than containers and piggyback loads. As for policy, nothing in the data from either our region or at the national level suggests to me that we need to change the path that current policy is on in terms of either speeding up or slowing down the pace with which we’re removing the substantial accommodation that remains. Markets are expecting further moves.  And our models are suggesting that even with several more increases in our fed funds target rate, the real economy should expand between 3½ to almost 4 percent next year. That modeling work suggests that unemployment should continue to edge down and that the CPI should average between 2½ and 3 percent. Of course, the risks to these forecasts that people have already talked about are not insignificant. But I’m comfortable with the path we’re on, at least for now. Thank you, Mr. Chairman."
"6";"MR. HOENIG.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  For the economy, growth currently remains above trend and, as we all know, is likely to remain above trend several quarters forward.  As a result, we are systematically approaching long-run potential GDP for the economy.  I expect growth will be near 4 percent this year—above trend. There are obvious reasons for this: monetary policy remains accommodative, consumer spending on goods and housing is strong, and business equipment spending is strong.  While fourth-quarter growth was below expectations, final sales to domestic purchasers were at a robust 4.3 percent pace.  And I think the labor market continues to improve. Evidence from our District is very much in line with this outlook.  Most retailers we contacted said that holiday sales were moderately higher than a year ago, and many said that sales were above their plan. In addition, many ski resorts in our region reported sharp increases in hotel occupancy and a near-record volume of ski visits, many from foreigners.  Job growth picked up in December.  Hiring announcements since the last FOMC meeting exceeded layoff announcements by a margin of two to one, and a substantial fraction of small and midsized manufacturers said that they plan to increase employment in the coming months.  District manufacturing continues to expand at a brisk pace; production, new orders, and employment all rose in December, and firms remained upbeat about future activity. Capital spending plans for 2005 are reported strong. We all know where the price indexes are right now but, looking to the future, I would expect to see further increases in core inflation. With the federal funds rate below the lower bound of most estimates for the neutral rate, I remain alert to the greater or increasing risk of inflation.  In addition, there are several other reasons to think that this upside risk may be rising.  First of all, as others have said here today, we are hearing more about the return to pricing power.  Further, a greater pass- through of higher commodity prices seems to be occurring.  The possibility of continued dollar depreciation is strong, as is a greater pass-through of higher import prices.  And slowing productivity February 1-2, 2005 101 of 177 Evidence from the District supports these observations.  For example, the fraction of businesses reporting labor shortages was 53 percent in January, up significantly from last quarter and last year. As a result, wage pressures in the District have also increased.  About 26 percent of the employers contacted in January said that they had to boost wages more than normal as compared to 17 percent last quarter and 11 percent a year ago. In addition, our manufacturing survey showed evidence of greater pricing power. For example, among respondents reporting higher input prices, the share who also reported higher output prices has risen markedly, from 40 percent in the fourth quarter of 2003 to 60 percent in the fourth quarter of 2004, the same as before the recession. Similarly, among those who expect to pay higher input prices going forward, those who also expect to charge higher output prices has risen markedly from 41 to 51 percent. In summary, the outlook for the nation and our region is certainly good.  Growth is robust, and we are hearing increasingly that there is a lot of money looking for opportunity.  I would submit that the risk of higher inflation, therefore, is now large enough that we should at least be thinking about raising rates more aggressively toward neutral than we have in the past.  Thank you."
"7";"MR. KOHN.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  My forecast for economic activity in 2005 and 2006, like the rest of yours, was for growth a little faster than the trend rate of growth in potential. That reflects my judgment that the forces that had been holding back the economy in recent years have largely dissipated, allowing the effect of relatively stimulative financial conditions to continue to show through and raising the level of production relative to potential. My projection for growth in 2005 and 2006 is in line with the rate of growth in 2004. Yet energy prices, whose rise must have damped growth to some degree in 2004, are expected to be flat or somewhat lower.  In addition, financial conditions have eased since the middle of the year, with bond rates and the exchange rate lower and stock prices a little higher. So, as I thought about my projection, the logical question seemed to be whether we were on the verge of a much stronger pace of economic growth.  Although that’s a possibility, I see several factors that should keep growth to a moderate pace.  Monetary policy and fiscal policy are at the top of the list. On the fiscal side, the partial-expensing provisions probably brought forward some capital expenditures from 2005 to 2004. For monetary policy, I assumed a continued gradual withdrawal of monetary stimulus along the lines built into the staff’s forecast or the market’s.  That should lead to rising real intermediate- February 1-2, 2005 106 of 177 investment spending directly, take something off the increase in house and equity prices—holding down gains in wealth—and support the dollar. Of course, that hasn’t been the experience over the last six months or so, as President Lacker just pointed out.  But longer-term real rates have fallen to such a low level that I find it difficult to believe they won’t rise from here, provided moderate growth is sustained. Indeed, I see an important downside risk to the forecast from the possibility of a sizable jump in longer-term real interest rates, which could have a pretty serious effect on house prices and consumption if it results from an unwinding of special factors or from a revision of unreasonably low expectations rather than from an unexpectedly faster pace of economic activity. Until those rates ratchet higher, however, their low level, along with the basically sideways movement of equity prices since late last year, would seem to suggest that caution among savers and spenders has not dissipated entirely. At the very least, the behavior of bond yields and stock prices seems inconsistent to me with a new more ebullient attitude that would presage boom-like conditions. In addition, the behavior of the trade deficit is likely to be damping the growth of demand on U.S. resources for a while.  The staff forecast, which has net exports making a modest net negative contribution on average over the next two years, is itself premised on a pickup in foreign demand—a pickup we don’t yet see in the data.  This suggests to me another source of downside risk. Over the long haul, as people become more reluctant to send us growing proportions of their savings, the deficit will have to fall. That will put considerable pressure on productive capacity in the United States, but it’s not at all clear when that will begin to happen. Finally, in making my forecast of real growth, I took account of my serial forecast errors. I’ve been overpredicting growth since I got on the Committee, so I used a sophisticated algorithm to compensate for this propensity:  I decided what I really wanted to forecast and I took a little off! February 1-2, 2005 107 of 177 My projection for core PCE inflation for 2005 and 2006 that goes with this path of output is slightly higher than the staff forecast. I gave some weight to the market-based core PCE numbers, which have been running higher than the total core PCE, but that forecast remains below 2 percent, and it is stable at that level. For inflation, the question I wrestled with was: Why not further increases this year after the acceleration of 2004?  In that regard, the recent data from the last part of 2004 have been supportive, I think, of a stable inflation forecast. With these data, every broad index of core inflation—from GDP prices to the CPI to PCE—grew less rapidly in the second half of last year than in the first— and significantly less rapidly, by at least ½ percentage point. This pattern is not consistent with accelerating prices. It reinforces the hypothesis that a good portion of the pickup in core inflation in the first half of 2004 was attributable to special factors: a reversal of the unexplainable undershoot in inflation in 2003 and the pass-through of higher energy, commodity, and other import prices from late 2003 and early 2004.  At least in terms of energy prices—not imports, which are a big question mark—I think these upward pressures should not be a factor in 2005. In labor markets, increases in measures of compensation also slowed from the first half of the year to the second. Now, this is particularly noteworthy in that one might have expected the previous run-up in energy prices and the strength in productivity increases in recent years to put upward pressure on compensation gains.  As a consequence, I think I’m a little less concerned than some others of you that slack has already been absorbed.  I can only explain the recent pace of compensation data if appreciable slack is persisting in labor markets to balance these other upside pressures. In this environment, continued intense competitive conditions are likely to limit labor cost increases and the ability or willingness of firms to pass through shorter-term increases in unit labor costs into prices and thus risk market share. Finally, inflation came in lower in the second half of 2004 than I had expected.  My projection was at the low end of our collective central tendency, so most of you were a little higher February 1-2, 2005 108 of 177 decline in the unemployment rate.  But energy and import prices rose more than I had anticipated. Consequently, I also wondered whether at midyear I had given enough weight to the factors restraining inflation—slack, elevated markups, and stable inflation expectations.  To be sure, slack should be diminishing, businesses will try to resist any squeeze on markups, and the economy may be closer to potential than it appears right now. If the dollar declines substantially, import prices will increase, reducing foreign competitive pressure.  Or if trend productivity slows more than projected, firms could be more insistent and more successful in passing through costs than is consistent with keeping inflation in check.  Still, for now, I think low, stable inflation is the most likely outcome for the next few years, provided policy continues gradually to firm, as slack slowly diminishes and output grows at a moderate pace. As for the balance of risks, I’ve always thought that that phrase applies primarily, or first and foremost, to the most likely path for inflation and output relative to our objectives at the assumed path for policy. And, in that context, the risks still seem to me to be balanced.  The fact that I found myself asking these particular questions about the outlook suggests, perhaps, a slight skew to the distribution around these modal outcomes.  But I think we should await further developments to assess whether those skews will become large enough to influence the central tendencies, the balance of risks, and the path on which we remove policy accommodation, or whether, as the market and the staff expect, we actually will need to slow the pace of tightening in the future. Thank you, Mr. Chairman."
"8";"MR. LACKER.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  Economic growth in the Fifth District has been a little stronger in recent weeks. Retail revenues seem to have picked up.  According to our survey, seasonally adjusted shopper traffic was stronger in January than in December, and big-ticket sales February 1-2, 2005 104 of 177 continues to be brisk. District manufacturing activity generally firmed in January, following some softness in December.  And although our survey showed manufacturing shipments down somewhat recently, new orders strengthened and factory hiring was higher. In labor markets, we’re seeing some indications of a pickup in job growth in recent weeks. Data for December had shown only modest gains in our area.  Business contacts reported that prices rose at a somewhat quicker pace in January than in December, though increases for final goods and services were generally less than 2 percent. We continue to hear of sharp increases in prices for some categories of raw materials.  Some District manufacturers indicate that higher costs are squeezing their margins, but an increasing number of producers indicate that they are passing through cost increases by raising their prices. Pass-throughs are easier, some say, because raw material prices are affecting their competitors as well, though it isn’t clear why this wasn’t true with the earlier cost increases. Other contacts note that the stronger economic outlook makes their customers less resistant to higher prices, and this sounds a bit more persuasive to us. Turning to the national picture, the data we’ve received since the December FOMC meeting suggest that the recovery is on track. The forecast for inflation and economic activity in this Greenbook is little changed from December, and I haven’t seen anything that contradicts that view. In particular, core PCE inflation is projected to remain around 1½ percent, inflation expectations appear to be contained, and the Greenbook continues to project a healthy real GDP growth of between 3½ to 4 percent over the next two years as the output gap gradually closes. To my mind, the most intriguing development since December is the flattening of the yield curve. Despite a 26 basis point increase in the two-year Treasury rate since the December FOMC meeting, the 10-year rate barely moved and the 30-year rate actually declined by 17 basis points. This was clear in Dino’s charts yesterday. The behavior of the term structure is just what one would expect if the public has confidence that we’re going to conduct monetary policy in a way to keep inflation premiums stable and, thus, keep long-term interest rates low over the long run.  The fact February 1-2, 2005 105 of 177 supports this interpretation. I read these facts as evidence of the credibility of our low-inflation commitment, as was commented on at length yesterday. Of course, as we go forward, I think we’re going to have to watch the term structure carefully for evidence of emerging market concerns about either inflation or deflation.  For now, however, the yield curve evidence, together with overall economic conditions, suggests that the policy path we are assuming for this outlook is nicely balancing the upside and the downside risks."
"9";"MR. MOSKOW.";"FOMC20050202meeting.csv";"  Thank you, Mr. Chairman.  The story from the Seventh District is much the same as last time.  We’re seeing a broad-based improvement in business conditions.  I would characterize it as solid growth, but not spectacular. Most of the sectors that were strong last year February 1-2, 2005 84 of 177 construction machinery, and commercial printing.  A number of firms in these industries have been able to raise prices without seeing a reduction in their order backlogs. We’ve also heard some upbeat forward-looking reports on commercial aircraft. And agriculture has been very strong. Farm incomes were up sharply last year, and that has been supporting big gains in the sale of agricultural equipment.  We also saw the largest annual increase in District farmland values in 15 years. On the other hand, the outlook for the Big Three automakers, whose operations and those of their suppliers are heavily concentrated in our District, is not so good.  Most analysts expect light vehicle sales to be similar to last year, but the Big Three are concerned about losing even more market share.  And their profit outlook is not good; we continue to hear that they have significant cost disadvantages relative to the transplants. Moreover, foreign nameplates have built out their product lines to the point where the Big Three face stiff competition in just about every market segment.  One result of the relatively poor performance of the Big Three is that Michigan now has the highest unemployment rate in the nation.,   Actually, Illinois is leading the Big Ten in basketball.  [Laughter] They are undefeated so far. On the price front, there’s more talk that higher costs for plastics and other energy-related inputs are working their way downstream, but we’re certainly not hearing widespread reports of major price increases. With regard to labor markets, the two large temporary staffing firms that we speak with regularly continue to report roughly 10 percent overall growth relative to a year ago, with demand for skilled workers rising fastest. Like us, they have been expecting a period of more robust employment growth.  But the further we get from the recession, the more they are becoming resigned to the idea that the growth rates we’ve seen over the last year may be as high as we’ll get in this cycle. The president of one of the temp firms made an interesting observation about the February 1-2, 2005 85 of 177 reasons are industry-specific.” This is an improvement from a year or so ago when many firms reported being worried about the strength of the overall economy.  His observations pretty much match my impressions.  Things aren’t exactly roaring, but few businesses regard the expansion as fragile. Turning to the national outlook, once again the data we’ve received since the last meeting have not materially changed our outlook for 2005.  We continue to expect that output will expand at a rate somewhat above potential and that there will be little change in core inflation.  I think the alternative simulations in the Greenbook did a good job of laying out a number of the risks to the forecast. Overall, I think these risks are balanced. The “higher long-term interest rates” simulation did give me some pause, especially because of the talk that foreign investors may be revising their thinking about U.S. securities.  But I remain concerned about another risk that we talked about last time, namely, that, instead of some appreciable slack remaining in the economy, we may already be essentially at potential or approaching potential. This view was raised by some of the participants, albeit a minority, in the meeting we had last week of our academic advisors and Chicago-area business economists.  When asked about the course of policy going forward, there was a roughly even split between those who thought that the path implicit in futures markets was about right and those who thought we should be raising rates at a faster pace. My own view is that we will probably have to raise rates this year to levels that are higher than those expected by futures markets.  As we all know, we will face communication challenges as the year proceeds.  It’s probably not critical today, but it will become more so as we move through the year."
"10";"MR. OLSON.";"FOMC20050202meeting.csv";" Thank you, Mr. Chairman.  First, I would like to reflect briefly on one of the charts in the chart show—the chart on E&S [equipment and software] expenditures—and the possibility of the “no investment pothole” scenario.  It strikes me that at this point in early February, if we are not yet certain as to the impact of the partial-expensing provisions, there’s a strong indication that there is no pothole. I say that for this reason: In my experience, incentives attract capital, and significant incentives—such as the kind that would generate this sort of behavioral change—attract capital noisily. That means that we would pick up, either from the E&S manufacturers or from the lenders, some indication of the impact of the partial-expensing incentives. The fact that we have not suggests that we may not see a deceleration in E&S spending as a result of the expiration of the partial-expensing provisions. That may be a risk to the forecast, but it is a risk only to the accuracy of the forecast; it would not be an unwelcome development.  If you look at the February 1-2, 2005 113 of 177 unemployment are very positive, yet the impact on PCE prices is neutral.  So it seems to me that that is a very realistic alternative. Second, in following the comments by bankers in January after the release of fourth-quarter earnings reports, two themes came through.  One was that asset quality has peaked and can only decline, and the other was the highlighting of additional provisioning for loan losses both in the fourth quarter and potentially in 2005. So there was a suggestion of cyclicality to these developments that would at least merit a look at the relationship between asset quality and the impact it might have on the economy.  The question is whether or not there is anything going on that would jeopardize our forecast of growth above potential through 2006. Bill Treacy pulled together some information for me, and I’ve handed it out in a set of three charts showing nonperforming assets, net charge-offs, and loan loss provisions as compared to real GDP growth since 1990.4  The loan data have been seasonally adjusted to comport with GDP data. For two of the three—nonperforming assets and net charge-offs—asset quality is a very reliable lagging indicator. The peaks of nonperforming assets and charge-offs followed the troughs of GDP by several months.  The same is not necessarily true with loan loss provisions.  However, the opposite is not true. Those data did not indicate that at an inflection point we had reached a time in the cycle that would suggest the economy was ready for a downturn.  In fact, loan loss provisioning, in many cases, will increase at the start of the cycle of loan growth again, for reasons that are known only to auditors and the SEC [Securities and Exchange Commission].  [Laughter] So the question is: Is there anything in the current analysis of asset quality that would suggest a risk to our current forecast? It seems that there is not. A third point that I would like to make that has not been discussed yet is the longer-term fiscal policy issue called Social Security reform.  In Washington, D.C., the decibel level on Social Security is strong. It’s about to get stronger, particularly after this evening when the President discusses it again in his State of the Union speech. The Washington Post this morning indicated that February 1-2, 2005 114 of 177 even though the Administration’s position is not yet out, the Democrats have already lined up sufficient votes in the Senate to keep the private accounts—or personal accounts, as they are now being called—from happening.  The question would be whether the personal/private accounts will continue to be the focus or whether can we move to a more rational, thoughtful consideration of options such as those outlined in The Wall Street Journal article featuring Governor Gramlich earlier in the week. It is unlikely that we are going to get that latter scenario. The personal investment accounts will continue to be the focus for an important reason.  The Republicans who are in favor see the personal accounts as transformational—transformational both in the role of government and in terms of what government can do for the wealth-building of individual private citizens.  They see the adjustments that can be made as painful.  And, as one of them told me recently, “We’re not in it just for the pain.” [Laughter] In other words, if the package of proposed changes has no personal/private accounts, there will be no Social Security reform.  Also, there’s a very short window. If it doesn’t happen in 2005, it’s likely that it will not happen. So, I think the President is staking a significant part of his reputation on achieving Social Security reform, and the focus will be on that issue. So, I think we should expect that to be a very high profile issue for the next several months. In summary, there’s certainly nothing, even with the “no pothole” alternative, that would suggest to me that we in any way should alter our current path of removing accommodation in the measured manner we have been doing.  Thank you."
